2000 100 OPEN_LOW_WIND 0.006
32 300 OPEN_LOW_WIND 0.09
40 300 OPEN_LOW_WIND 0.07
50 300 OPEN_LOW_WIND 0.06
100 300 OPEN_LOW_WIND 0.05
125 300 OPEN_LOW_WIND 0.04
150 300 OPEN_LOW_WIND 0.04
200 300 OPEN_LOW_WIND 0.03
250 300 OPEN_LOW_WIND 0.03
300 300 OPEN_LOW_WIND 0.02
350 300 OPEN_LOW_WIND 0.02
400 300 OPEN_LOW_WIND 0.02
500 300 OPEN_LOW_WIND 0.02
600 300 OPEN_LOW_WIND 0.015
700 300 OPEN_LOW_WIND 0.013
800 300 OPEN_LOW_WIND 0.012
900 300 OPEN_LOW_WIND 0.011
1000 300 OPEN_LOW_WIND 0.01
2000 300 OPEN_LOW_WIND 0.006
32 500 OPEN_LOW_WIND 0.07
40 500 OPEN_LOW_WIND 0.05
50 500 OPEN_LOW_WIND 0.04
100 500 OPEN_LOW_WIND 0.04
125 500 OPEN_LOW_WIND 0.03
150 500 OPEN_LOW_WIND 0.03
200 500 OPEN_LOW_WIND 0.03
250 500 OPEN_LOW_WIND 0.02
300 500 OPEN_LOW_WIND 0.02
350 500 OPEN_LOW_WIND 0.02
400 500 OPEN_LOW_WIND 0.02
500 500 OPEN_LOW_WIND 0.016
600 500 OPEN_LOW_WIND 0.014
700 500 OPEN_LOW_WIND 0.012
800 500 OPEN_LOW_WIND 0.011
900 500 OPEN_LOW_WIND 0.01
1000 500 OPEN_LOW_WIND 0.009
2000 500 OPEN_LOW_WIND 0.005
